"osm_id","name","gid"
-62458,"Landkreis Starnberg","09188"
-62457,"Landkreis Kitzingen","09675"
-62456,"Duisburg","05112000"
-62455,"Remscheid","05120000"
-62454,"Landkreis Bad Dürkheim","07332"
-62453,"Worms","07319000"
-62452,"Kreis Düren","05358"
-62451,"Landkreis Kaiserslautern","07335"
-62450,"Suhl","16054000"
-62449,"Leverkusen","05316000"
-62448,"Landkreis Erlangen-Höchstadt","09572"
-62447,"Landkreis Saalfeld-Rudolstadt","16073"
-62445,"Greiz","16076"
-62444,"Wilhelmshaven","03405000"
-62443,"Rhein-Lahn-Kreis","07141"
-62442,"Kreis Steinfurt","05566"
-62440,"Kreis Soest","05974"
-62437,"Kreis Siegen-Wittgenstein","05970"
-62434,"Landkreis Leipzig","14729"
-62432,"Saale-Holzland-Kreis","16074"
-62431,"Landkreis Roth","09576"
-62430,"Cottbus - Chóśebuz","12052000"
-62429,"Landkreis Harz","15085"
-62428,"München","09162000"
-62427,"Erzgebirgskreis","14521"
-62426,"Landkreis Diepholz","03251"
-62425,"Wittenberg","15091"
-62424,"Unstrut-Hainich-Kreis","16064"
-62423,"Kreis Mettmann","05158"
-62422,"Berlin","11000000"
-62420,"Kreis Unna","05978"
-62419,"Ilm-Kreis","16070"
-62418,"Wolfsburg","03103000"
-62417,"Kreis Paderborn","05774"
-62416,"Landkreis Helmstedt","03154"
-62415,"Landkreis Oberallgäu","09780"
-62414,"Delmenhorst","03401000"
-62413,"Havelland","12063"
-62412,"Rems-Murr-Kreis","08119"
-62411,"Regensburg","09362000"
-62410,"Mönchengladbach","05116000"
-62409,"Oldenburg","03403000"
-62408,"Pinneberg","01056"
-62407,"Augsburg","09761000"
-62406,"Landkreis Bad Kissingen","09672"
-62405,"Rostock","13003000"
-62404,"Landkreis Miltenberg","09676"
-62403,"Erlangen","09562000"
-62402,"Hochsauerlandkreis","05958"
-62401,"Landkreis Kassel","06633"
-62400,"Frankfurt am Main","06412000"
-62399,"Landkreis Osterholz","03356"
-62398,"Landkreis Unterallgäu","09778"
-62397,"Landkreis Wittmund","03462"
-62396,"Herne","05916000"
-62394,"Hohenlohekreis","08126"
-62393,"Landkreis Karlsruhe","08215"
-62391,"Landau in der Pfalz","07313000"
-62390,"Landkreis Weißenburg-Gunzenhausen","09577"
-62389,"Landkreis Donau-Ries","09779"
-62388,"Landkreis Rastatt","08216"
-62387,"Landkreis Merzig-Wadern","10042"
-62385,"Mülheim an der Ruhr","05117000"
-62384,"Bautzen","14625"
-62383,"Landkreis Kronach","09476"
-62382,"Main-Taunus-Kreis","06436"
-62381,"Ingolstadt","09161000"
-62379,"Kreis Gütersloh","05754"
-62378,"Landkreis Bayreuth","09472"
-62377,"Landkreis Aichach-Friedberg","09771"
-62376,"Dahme-Spreewald","12061"
-62374,"Fürth","09563000"
-62373,"Oberbergischer Kreis","05374"
-62371,"Landkreis Pfaffenhofen an der Ilm","09186"
-62370,"Eisenach","16056000"
-62369,"Potsdam","12054000"
-62368,"Lahn-Dill-Kreis","06532"
-62367,"Landkreis Kusel","07336"
-62365,"Landkreis Hildburghausen","16069"
-62364,"Teltow-Fläming","12072"
